,City,Latitude,Temperature (F),Humidity (%),Windspeed (mph),Cloudiness (%)
547,Kalisz,51.7611,55.0,84,1.01,100
548,Saravan,39.7196,69.8,46,6.91,40
549,Río Gallegos,-51.6226,50.0,81,16.11,75
550,Sisimiut,66.9395,36.79,70,6.26,100
551,Oranjemund,-28.55,60.89,74,4.52,0
552,Uruaçu,-14.5247,87.21,30,1.05,7
553,Broken Hill,-31.95,46.4,81,5.75,75
554,Atasū,48.6814,52.5,53,8.01,0
555,Whitehorse,60.7161,45.05,61,12.66,75
556,Tilichiki,60.4667,23.54,85,4.79,15
557,Esna,25.2934,89.6,20,4.61,0
558,Polyarny,69.1989,33.8,86,11.18,75
559,Ponta do Sol,32.6667,68.74,40,13.8,20
560,Sola,-13.8833,75.2,100,6.87,75
561,Mt. Pleasant,32.7941,72.9,30,6.91,1
562,Port-Gentil,-0.7193,82.4,83,6.91,40
563,Kokkola,63.8385,42.08,87,5.75,97
564,Cabedelo,-6.9811,78.8,89,5.75,75
565,Pedernales,18.0384,86.16,57,7.05,60
566,Leningradskiy,69.3833,24.46,89,2.44,26
567,Raton,36.9034,74.43,28,4.61,1
568,Sørland,67.667,44.6,87,12.66,40
569,Jumla,29.2747,49.32,86,2.28,41
570,Luganville,-15.5333,77.16,83,2.24,99
571,Intipucá,13.1969,94.39,49,6.91,0
572,Vaitape,-16.5167,81.54,76,19.13,100
573,Udachny,66.4167,38.97,89,10.38,100
574,Ulundi,-28.3352,62.89,45,5.26,0
575,Port Hedland,-20.3167,64.4,52,9.22,0
576,Dongsheng,39.8161,50.22,89,17.22,100
577,Kabinda,-6.1333,74.1,65,3.69,100
578,Mudkhed,19.1667,93.45,34,8.81,100
579,Roald,62.5833,48.92,87,17.27,20
580,Altea,38.5989,63.99,81,4.0,48
581,Birao,10.2849,79.45,64,6.42,91
582,Salinas,36.6777,55.9,82,8.05,90
583,Bumba,2.1833,72.14,95,2.08,100
584,Touros,-5.1989,77.0,94,6.91,90
585,Saint-Pierre,-21.3393,70.39,78,4.61,0
586,Santa Helena de Goiás,-17.8136,86.07,30,2.53,35
587,Krasnogorsk,55.8225,60.75,88,8.95,0
588,Bétaré Oya,5.6,72.37,87,2.3,100
589,Nouakchott,18.0858,80.6,50,23.02,6
590,Mandalgovi,45.7625,37.9,31,6.51,28
